An&aacute;lisis - Taxis por franja|Análisis - Taxis por franja
Click en &quot;Procesar&quot; para iniciar el an&aacute;lisis|Click en "Procesar" para iniciar el análisis
Desde Fecha|Desde Fecha
Hasta Fecha|Hasta Fecha
Hora desde|Hora desde
Hora hasta|Hora hasta
Origen predefinido|Origen predefinido
Destino predefinido|Destino predefinido
Mostrar Reporte |Mostrar Reporte 
Procesar|Procesar
Dibujar &aacute;rea an&aacute;lisis |Dibujar área análisis 
Limpiar &aacute;rea|Limpiar área
Reporte &aacute;rea an&aacute;lisis|Reporte área análisis
