Solicitudes|Solicitudes
Estas son todas tus solicitudes generadas. Hace click en &quot;Cancelar&quot; para notificar al proveedor que el viaje ya no es requerido. Una vez que el viaje se encuentre confirmado deber&aacute;s contactarte directamente con el proveedor para cancelar el servicio.|Estas son todas tus solicitudes generadas. Hace click en "Cancelar" para notificar al proveedor que el viaje ya no es requerido. Una vez que el viaje se encuentre confirmado deberás contactarte directamente con el proveedor para cancelar el servicio.
 Podes ordenar los viajes por ticket, fecha o proveedor haciendo click en el t&iacute;tulo de las correspondientes columnas. | Podes ordenar los viajes por ticket, fecha o proveedor haciendo click en el título de las correspondientes columnas. 
Ticket|Ticket
Comb.|Comb.
Creador|Creador
Pasajeros|Pasajeros
Origen / Destino|Origen / Destino
Fecha|Fecha
 Hora | Hora 
Dist. |Dist. 
 Tiempo| Tiempo
Estado|Estado
Proveedor|Proveedor
M&aacute;s opciones|Más opciones
(|(
Origen: |Origen: 
Destino: |Destino: 
&nbsp;Hs.| Hs.
 &nbsp;Km. |  Km. 
Cancelar|Cancelar
M&aacute;s info|Más info
Info Fact.|Info Fact.
Repetir Viaje|Repetir Viaje
