Viajes facturados|Viajes facturados
Estos son todos los viajes asociados a la factura |Estos son todos los viajes asociados a la factura 
. Para desvincularlos seleccion&aacute; los que desess y luego hac&eacute; click en &quot;Desvincular&quot;.|. Para desvincularlos seleccioná los que desess y luego hacé click en "Desvincular".
Ticket Fecha Hora|Ticket Fecha Hora
Pasajeros|Pasajeros
Origen / Destino|Origen / Destino
Tarifa |Tarifa 
Tipo Viaje|Tipo Viaje
Recorrido Espera|Recorrido Espera
Estac. Peaje|Estac. Peaje
Vuelta|Vuelta
Total Voucher|Total Voucher
Opciones|Opciones
&nbsp;Hs. | Hs. 
O: |O: 
D: |D: 
&nbsp;Km.| Km.
&nbsp;Min | Min 
